Cell ID,EPCAM
DTC2_357652,2.78
DTC2_424776,0.92
DTC2_21312,2.6
DTC2_303296,0.65
DTC2_465099,1.54
DTC2_151052,0.26
DTC2_691731,0
DTC2_669240,1.29
DTC2_132080,2.39
DTC2_242977,5.52
DTC2_822292,2.03
DTC2_571072,1.87
DTC2_106544,0
DTC2_361848,3.23
DTC2_175337,2.04
DTC2_362473,1.91
DTC2_467674,1.9
DTC2_738069,2.51
DTC2_549051,1.46
DTC2_535089,1.64
DTC2_471318,0.28
DTC2_784628,1.68
DTC2_97739,0
DTC2_456438,0.91
DTC2_432758,1.72
DTC2_87551,2.07
DTC2_598086,1.72
DTC2_229365,3.02
DTC2_265638,1.27
DTC2_585663,1.85
DTC2_278114,0
DTC2_566499,1.77
DTC2_320676,3.04
DTC2_167952,3.43
DTC2_420073,0
DTC2_529280,1.4
DTC2_826068,3.17
DTC2_770486,1.15
DTC2_159933,2.31
DTC2_520998,4.44
DTC2_102435,2.7
DTC2_588674,1.43
DTC2_244462,1.34
DTC2_6257,0.97
DTC2_274965,1.64
DTC2_727123,2.15
DTC2_846147,4.6
DTC2_290036,2.89
DTC2_868209,0.41
DTC2_367156,3.38
DTC2_751162,1.48
DTC2_145028,1.44
DTC2_118694,1.57
DTC2_146903,3.69
DTC2_2785,2.89
DTC2_154748,2.14
DTC2_88444,4.9
DTC2_353588,2.26
DTC2_63442,1.19
DTC2_675915,1.51
DTC2_652064,0
DTC2_209301,2.31
DTC2_139913,2.16
DTC2_558870,1.44
DTC2_420172,2.76
DTC2_30048,2.76
DTC2_777641,3.72
DTC2_207336,0.93
DTC2_713444,1.18
DTC2_517764,2.87
DTC2_167539,4.07
DTC2_162525,0
DTC2_346924,2.91
DTC2_563515,5.32
DTC2_131580,1.42
DTC2_574102,2.76
DTC2_486774,4.32
DTC2_499670,0
DTC2_450088,2.63
DTC2_110177,0
DTC2_772114,1.59
DTC2_264928,2.29
DTC2_417273,0
DTC2_656770,1.5
DTC2_15177,0
DTC2_135650,2.31
DTC2_158312,5.93
DTC2_135739,2.4
DTC2_330082,1.41
DTC2_573360,3.11
DTC2_649817,3.69
DTC2_251283,1.86
DTC2_361686,2.94
DTC2_309948,6.37
DTC2_653310,2.81
DTC2_758383,1.89
DTC2_461282,1.72
